
Parameters:
ALLOW_SOFT_PLACEMENT=True
BATCH_SIZE=1024
CHECKPOINT_EVERY=100
DEV_SAMPLE_PERCENTAGE=0.1
DROPOUT_KEEP_PROB=0.5
EMBEDDING_DIM=128
EVALUATE_EVERY=100
FILTER_SIZES=2,3,4,5,6
L2_REG_LAMBDA=0.0
LOG_DEVICE_PLACEMENT=False
NEGATIVE_DATA_FILE=./data/rt-polaritydata/rt-polarity.neg
NUM_CHECKPOINTS=5
NUM_EPOCHS=200
NUM_FILTERS=128
POSITIVE_DATA_FILE=./data/rt-polaritydata/rt-polarity.pos

Loading data...
636 max_document
(10002, 636)
Train/Dev split: 9002/1000
Number of Class: 3
Writing to /home/g/grad/xinhao/IE_Project/runs/1494271488

2017-05-08T15:25:42.555426: step 1, loss 2.92102, acc 0.179688
2017-05-08T16:38:35.215427: step 87, loss 0.859069, acc 0.640625
2017-05-08T16:39:26.889883: step 88, loss 0.838773, acc 0.634766
2017-05-08T16:40:18.747620: step 89, loss 0.840132, acc 0.628906
2017-05-08T16:40:59.621820: step 90, loss 0.845975, acc 0.624691
2017-05-08T16:41:51.453551: step 91, loss 0.826431, acc 0.643555
2017-05-08T16:42:43.264145: step 92, loss 0.831804, acc 0.636719
2017-05-08T16:43:35.175093: step 93, loss 0.839095, acc 0.625977
2017-05-08T16:44:27.755711: step 94, loss 0.848082, acc 0.632812
2017-05-08T16:45:19.499643: step 95, loss 0.846496, acc 0.637695
2017-05-08T16:46:11.597437: step 96, loss 0.842475, acc 0.626953
2017-05-08T16:47:03.408214: step 97, loss 0.836959, acc 0.632812
2017-05-08T16:47:55.278210: step 98, loss 0.845089, acc 0.62793
2017-05-08T16:48:36.279834: step 99, loss 0.804193, acc 0.648148
2017-05-08T16:49:28.118228: step 100, loss 0.818815, acc 0.651367

Evaluation:
2017-05-08T16:49:47.480605: step 100, loss 0.827928, acc 0.658

2017-05-08T16:50:39.782584: step 101, loss 0.83241, acc 0.632812
2017-05-08T16:51:31.781661: step 102, loss 0.847356, acc 0.624023
2017-05-08T16:52:23.412294: step 103, loss 0.837111, acc 0.624023
2017-05-08T16:53:15.213511: step 104, loss 0.850412, acc 0.623047
2017-05-08T16:54:07.287504: step 105, loss 0.79195, acc 0.670898
2017-05-08T16:54:59.168522: step 106, loss 0.806525, acc 0.649414
2017-05-08T16:55:51.465767: step 107, loss 0.881969, acc 0.59375
2017-05-08T16:56:32.588802: step 108, loss 0.845808, acc 0.669136
2017-05-08T16:57:25.033800: step 109, loss 0.857895, acc 0.647461
2017-05-08T16:58:17.278341: step 110, loss 0.797391, acc 0.646484
2017-05-08T16:59:09.321533: step 111, loss 0.828195, acc 0.637695
2017-05-08T17:00:01.101503: step 112, loss 0.818086, acc 0.650391
2017-05-08T17:00:52.662320: step 113, loss 0.824294, acc 0.626953
2017-05-08T17:01:44.582816: step 114, loss 0.81779, acc 0.65918
2017-05-08T17:02:36.710165: step 115, loss 0.831398, acc 0.681641
2017-05-08T17:03:28.483432: step 116, loss 0.843234, acc 0.614258
2017-05-08T17:04:09.550359: step 117, loss 0.825631, acc 0.628395
2017-05-08T17:05:01.768707: step 118, loss 0.784627, acc 0.661133
2017-05-08T17:05:53.483215: step 119, loss 0.805364, acc 0.641602
2017-05-08T17:06:45.272773: step 120, loss 0.795441, acc 0.646484
2017-05-08T17:07:37.259841: step 121, loss 0.821649, acc 0.629883
2017-05-08T17:08:28.812134: step 122, loss 0.804825, acc 0.644531
2017-05-08T17:09:20.442256: step 123, loss 0.835376, acc 0.608398
2017-05-08T17:10:12.140876: step 124, loss 0.822266, acc 0.621094
2017-05-08T17:11:04.054439: step 125, loss 0.818474, acc 0.619141
2017-05-08T17:11:45.445716: step 126, loss 0.777462, acc 0.67037
2017-05-08T17:12:37.201980: step 127, loss 0.852233, acc 0.602539
2017-05-08T17:13:28.985217: step 128, loss 0.787986, acc 0.65918
2017-05-08T17:14:21.477632: step 129, loss 0.75994, acc 0.677734
2017-05-08T17:15:13.796497: step 130, loss 0.808344, acc 0.629883
2017-05-08T17:16:05.680463: step 131, loss 0.810693, acc 0.621094
2017-05-08T17:16:57.469176: step 132, loss 0.787618, acc 0.644531
2017-05-08T17:17:49.224180: step 133, loss 0.785271, acc 0.639648
2017-05-08T17:18:40.961110: step 134, loss 0.799849, acc 0.62793
2017-05-08T17:19:22.012812: step 135, loss 0.795298, acc 0.659259
2017-05-08T17:20:13.844205: step 136, loss 0.786805, acc 0.643555
2017-05-08T17:21:06.034416: step 137, loss 0.811765, acc 0.62207
2017-05-08T17:21:57.851287: step 138, loss 0.785589, acc 0.644531
2017-05-08T17:22:49.908571: step 139, loss 0.793604, acc 0.643555
2017-05-08T17:23:41.742069: step 140, loss 0.782155, acc 0.631836
2017-05-08T17:24:33.740916: step 141, loss 0.797604, acc 0.631836
2017-05-08T17:25:25.578688: step 142, loss 0.811589, acc 0.636719
2017-05-08T17:26:17.217313: step 143, loss 0.765176, acc 0.65918
2017-05-08T17:26:58.128750: step 144, loss 0.746081, acc 0.671605
2017-05-08T17:27:49.836190: step 145, loss 0.789766, acc 0.643555
2017-05-08T17:28:41.791341: step 146, loss 0.785766, acc 0.637695
2017-05-08T17:29:33.702603: step 147, loss 0.789364, acc 0.666992
2017-05-08T17:30:25.486599: step 148, loss 0.781342, acc 0.697266
2017-05-08T17:31:17.445466: step 149, loss 0.776028, acc 0.646484
2017-05-08T17:32:09.067761: step 150, loss 0.804202, acc 0.620117
2017-05-08T17:33:00.974182: step 151, loss 0.773998, acc 0.636719
2017-05-08T17:33:53.027212: step 152, loss 0.77117, acc 0.671875
2017-05-08T17:34:34.321144: step 153, loss 0.795672, acc 0.655556
2017-05-08T17:35:26.453028: step 154, loss 0.768139, acc 0.655273
2017-05-08T17:36:17.982324: step 155, loss 0.783361, acc 0.628906
2017-05-08T17:37:10.085558: step 156, loss 0.755724, acc 0.657227
2017-05-08T17:38:01.939326: step 157, loss 0.787319, acc 0.630859
2017-05-08T17:38:53.980798: step 158, loss 0.762592, acc 0.674805
2017-05-08T17:39:45.984764: step 159, loss 0.770689, acc 0.655273
2017-05-08T17:40:38.161875: step 160, loss 0.747512, acc 0.655273
2017-05-08T17:41:30.106154: step 161, loss 0.762778, acc 0.640625
2017-05-08T17:42:11.038741: step 162, loss 0.781633, acc 0.635802
2017-05-08T17:43:02.970742: step 163, loss 0.779522, acc 0.668945
2017-05-08T17:43:54.948345: step 164, loss 0.777166, acc 0.646484
2017-05-08T17:44:46.645648: step 165, loss 0.770585, acc 0.644531
2017-05-08T17:45:38.569379: step 166, loss 0.76905, acc 0.65332
2017-05-08T17:46:30.292890: step 167, loss 0.744189, acc 0.663086
2017-05-08T17:47:22.340463: step 168, loss 0.770327, acc 0.637695
2017-05-08T17:48:14.359541: step 169, loss 0.749579, acc 0.655273
2017-05-08T17:49:06.181093: step 170, loss 0.73524, acc 0.669922
2017-05-08T17:49:47.463471: step 171, loss 0.753938, acc 0.696296
2017-05-08T17:50:39.521608: step 172, loss 0.742327, acc 0.675781
2017-05-08T17:51:31.572167: step 173, loss 0.734461, acc 0.674805
2017-05-08T17:52:23.328980: step 174, loss 0.743008, acc 0.644531
2017-05-08T17:53:15.353154: step 175, loss 0.763278, acc 0.648438
2017-05-08T17:54:07.531592: step 176, loss 0.723091, acc 0.682617
2017-05-08T17:54:59.508344: step 177, loss 0.748792, acc 0.680664
2017-05-08T17:55:51.208738: step 178, loss 0.783266, acc 0.663086
2017-05-08T17:56:43.271449: step 179, loss 0.759499, acc 0.640625
2017-05-08T17:57:24.449765: step 180, loss 0.784292, acc 0.654321
2017-05-08T17:58:16.282631: step 181, loss 0.753494, acc 0.642578
2017-05-08T17:59:08.408570: step 182, loss 0.777493, acc 0.650391
2017-05-08T18:00:00.461590: step 183, loss 0.746076, acc 0.691406
2017-05-08T18:00:52.289701: step 184, loss 0.729423, acc 0.677734
2017-05-08T18:01:44.383300: step 185, loss 0.749433, acc 0.65625
2017-05-08T18:02:36.246749: step 186, loss 0.736705, acc 0.661133
2017-05-08T18:03:28.299469: step 187, loss 0.737235, acc 0.665039
2017-05-08T18:04:20.495544: step 188, loss 0.718939, acc 0.69043
2017-05-08T18:05:01.689711: step 189, loss 0.719296, acc 0.701235
2017-05-08T18:05:53.416754: step 190, loss 0.732682, acc 0.651367
2017-05-08T18:06:45.267195: step 191, loss 0.730632, acc 0.661133
2017-05-08T18:07:37.453570: step 192, loss 0.748135, acc 0.645508
2017-05-08T18:08:29.377623: step 193, loss 0.72747, acc 0.722656
2017-05-08T18:09:21.298794: step 194, loss 0.734934, acc 0.698242
2017-05-08T18:10:12.995250: step 195, loss 0.741828, acc 0.657227
2017-05-08T18:11:04.821491: step 196, loss 0.724837, acc 0.666992
2017-05-08T18:11:56.901706: step 197, loss 0.745131, acc 0.651367
2017-05-08T18:12:37.840850: step 198, loss 0.706736, acc 0.706173
2017-05-08T18:13:29.779257: step 199, loss 0.728369, acc 0.668945
2017-05-08T18:14:21.821372: step 200, loss 0.715602, acc 0.69043

Evaluation:
2017-05-08T18:14:40.307778: step 200, loss 0.735335, acc 0.701

2017-05-08T18:15:32.442617: step 201, loss 0.737688, acc 0.678711
2017-05-08T18:16:24.234522: step 202, loss 0.737261, acc 0.711914
2017-05-08T18:17:16.052434: step 203, loss 0.706864, acc 0.692383
2017-05-08T18:18:07.769327: step 204, loss 0.729655, acc 0.65625
2017-05-08T18:19:00.136414: step 205, loss 0.721602, acc 0.665039
2017-05-08T18:19:51.876425: step 206, loss 0.722644, acc 0.724609
2017-05-08T18:20:32.930084: step 207, loss 0.703648, acc 0.711111
2017-05-08T18:21:24.762992: step 208, loss 0.70451, acc 0.660156
2017-05-08T18:22:16.381274: step 209, loss 0.705707, acc 0.666992
2017-05-08T18:23:08.277470: step 210, loss 0.685557, acc 0.710938
2017-05-08T18:24:00.414525: step 211, loss 0.745597, acc 0.676758
2017-05-08T18:24:52.491179: step 212, loss 0.728305, acc 0.691406
2017-05-08T18:25:44.173689: step 213, loss 0.696743, acc 0.712891
2017-05-08T18:26:36.045915: step 214, loss 0.697759, acc 0.678711
2017-05-08T18:27:27.760769: step 215, loss 0.723006, acc 0.654297
2017-05-08T18:28:08.541914: step 216, loss 0.705972, acc 0.722222
2017-05-08T18:29:00.958092: step 217, loss 0.704348, acc 0.743164
2017-05-08T18:29:52.769735: step 218, loss 0.7213, acc 0.65625
2017-05-08T18:30:44.854770: step 219, loss 0.650588, acc 0.701172
2017-05-08T18:31:36.554996: step 220, loss 0.705698, acc 0.68457
2017-05-08T18:32:28.458552: step 221, loss 0.696249, acc 0.744141
2017-05-08T18:33:20.587670: step 222, loss 0.702942, acc 0.740234
2017-05-08T18:34:12.542688: step 223, loss 0.725862, acc 0.648438
2017-05-08T18:35:04.813672: step 224, loss 0.734186, acc 0.648438
2017-05-08T18:35:46.005767: step 225, loss 0.726925, acc 0.722222
2017-05-08T18:36:37.744249: step 226, loss 0.730563, acc 0.756836
2017-05-08T18:37:29.591375: step 227, loss 0.678745, acc 0.707031
2017-05-08T18:38:21.471580: step 228, loss 0.702976, acc 0.675781
2017-05-08T18:39:13.805050: step 229, loss 0.669441, acc 0.693359
2017-05-08T18:40:05.756444: step 230, loss 0.667491, acc 0.78125
2017-05-08T18:40:57.926405: step 231, loss 0.709351, acc 0.698242
2017-05-08T18:41:49.915196: step 232, loss 0.730354, acc 0.65625
2017-05-08T18:42:41.715005: step 233, loss 0.68922, acc 0.693359
2017-05-08T18:43:22.717658: step 234, loss 0.656334, acc 0.764198
2017-05-08T18:44:14.443801: step 235, loss 0.68057, acc 0.688477
2017-05-08T18:45:06.221717: step 236, loss 0.654896, acc 0.709961
2017-05-08T18:45:57.933362: step 237, loss 0.677486, acc 0.708008
2017-05-08T18:46:49.759398: step 238, loss 0.677953, acc 0.756836
2017-05-08T18:47:41.736170: step 239, loss 0.660714, acc 0.720703
2017-05-08T18:48:33.574449: step 240, loss 0.687981, acc 0.677734
2017-05-08T18:49:25.560197: step 241, loss 0.699246, acc 0.678711
2017-05-08T18:50:17.390492: step 242, loss 0.704574, acc 0.749023
2017-05-08T18:50:58.567910: step 243, loss 0.702699, acc 0.735802
2017-05-08T18:51:50.321509: step 244, loss 0.691044, acc 0.670898
2017-05-08T18:52:42.476230: step 245, loss 0.682145, acc 0.668945
2017-05-08T18:53:34.121868: step 246, loss 0.661868, acc 0.707031
2017-05-08T18:54:26.229362: step 247, loss 0.676532, acc 0.746094
2017-05-08T18:55:18.024233: step 248, loss 0.690756, acc 0.739258
2017-05-08T18:56:09.976443: step 249, loss 0.664863, acc 0.69043
2017-05-08T18:57:02.067749: step 250, loss 0.668019, acc 0.716797
2017-05-08T18:57:54.040269: step 251, loss 0.691977, acc 0.688477
2017-05-08T18:58:35.027710: step 252, loss 0.64066, acc 0.772839
2017-05-08T18:59:27.172155: step 253, loss 0.683681, acc 0.726562
2017-05-08T19:00:19.364997: step 254, loss 0.663951, acc 0.692383
2017-05-08T19:01:11.194576: step 255, loss 0.645502, acc 0.727539
2017-05-08T19:02:02.875268: step 256, loss 0.655568, acc 0.741211
2017-05-08T19:02:54.805573: step 257, loss 0.658958, acc 0.731445
2017-05-08T19:03:46.735656: step 258, loss 0.664502, acc 0.730469
2017-05-08T19:04:38.459137: step 259, loss 0.650972, acc 0.732422
2017-05-08T19:05:30.339403: step 260, loss 0.673039, acc 0.72168
2017-05-08T19:06:11.660778: step 261, loss 0.661113, acc 0.739506
2017-05-08T19:07:03.908510: step 262, loss 0.650763, acc 0.741211
2017-05-08T19:07:55.680864: step 263, loss 0.654387, acc 0.725586
2017-05-08T19:08:47.620206: step 264, loss 0.637646, acc 0.723633
2017-05-08T19:09:39.464084: step 265, loss 0.655007, acc 0.760742
2017-05-08T19:10:31.483440: step 266, loss 0.659505, acc 0.744141
2017-05-08T19:11:23.420949: step 267, loss 0.631646, acc 0.725586
2017-05-08T19:12:15.311094: step 268, loss 0.606336, acc 0.751953
2017-05-08T19:13:07.535263: step 269, loss 0.663634, acc 0.712891
2017-05-08T19:13:48.567502: step 270, loss 0.67112, acc 0.745679
2017-05-08T19:14:41.010533: step 271, loss 0.657298, acc 0.719727
2017-05-08T19:15:32.857827: step 272, loss 0.641268, acc 0.748047
2017-05-08T19:16:24.619461: step 273, loss 0.648082, acc 0.737305
2017-05-08T19:17:16.329708: step 274, loss 0.622632, acc 0.755859
2017-05-08T19:18:08.107122: step 275, loss 0.641722, acc 0.72168
2017-05-08T19:19:00.288747: step 276, loss 0.619344, acc 0.74707
2017-05-08T19:19:52.329371: step 277, loss 0.638495, acc 0.75293
2017-05-08T19:20:44.268663: step 278, loss 0.614608, acc 0.751953
2017-05-08T19:21:25.177052: step 279, loss 0.624505, acc 0.755556
2017-05-08T19:22:17.326479: step 280, loss 0.634411, acc 0.726562
2017-05-08T19:23:09.142609: step 281, loss 0.627354, acc 0.743164
2017-05-08T19:24:01.371331: step 282, loss 0.621526, acc 0.75293
2017-05-08T19:24:53.267168: step 283, loss 0.637524, acc 0.745117
2017-05-08T19:25:45.858707: step 284, loss 0.621868, acc 0.74707
2017-05-08T19:26:37.951385: step 285, loss 0.607372, acc 0.759766
2017-05-08T19:27:29.690411: step 286, loss 0.627064, acc 0.737305
2017-05-08T19:28:21.922725: step 287, loss 0.601914, acc 0.758789
2017-05-08T19:29:03.103920: step 288, loss 0.626025, acc 0.733333
2017-05-08T19:29:55.184546: step 289, loss 0.616, acc 0.760742
2017-05-08T19:30:46.887460: step 290, loss 0.631083, acc 0.739258
2017-05-08T19:31:38.624615: step 291, loss 0.587389, acc 0.771484
2017-05-08T19:32:30.537112: step 292, loss 0.613441, acc 0.735352
2017-05-08T19:33:22.228464: step 293, loss 0.611797, acc 0.764648
2017-05-08T19:34:14.206422: step 294, loss 0.594306, acc 0.771484
2017-05-08T19:35:06.504648: step 295, loss 0.592778, acc 0.765625
2017-05-08T19:35:58.701117: step 296, loss 0.644216, acc 0.708008
2017-05-08T19:36:39.911139: step 297, loss 0.627663, acc 0.759259
2017-05-08T19:37:31.760425: step 298, loss 0.606461, acc 0.761719
2017-05-08T19:38:23.647413: step 299, loss 0.624961, acc 0.743164
2017-05-08T19:39:15.614806: step 300, loss 0.573273, acc 0.78125

Evaluation:
2017-05-08T19:39:34.268140: step 300, loss 0.650217, acc 0.741

2017-05-08T19:40:26.314124: step 301, loss 0.594551, acc 0.762695
2017-05-08T19:41:18.509739: step 302, loss 0.622308, acc 0.75293
2017-05-08T19:42:10.551832: step 303, loss 0.602736, acc 0.748047
2017-05-08T19:43:02.335806: step 304, loss 0.5885, acc 0.761719
2017-05-08T19:43:54.313391: step 305, loss 0.618326, acc 0.761719
2017-05-08T19:44:35.738482: step 306, loss 0.608011, acc 0.766667
2017-05-08T19:45:27.784490: step 307, loss 0.63094, acc 0.749023
2017-05-08T19:46:19.461390: step 308, loss 0.636175, acc 0.716797
2017-05-08T19:47:11.790599: step 309, loss 0.56098, acc 0.793945
2017-05-08T19:48:03.945363: step 310, loss 0.587229, acc 0.766602
2017-05-08T19:48:55.706456: step 311, loss 0.589415, acc 0.749023
2017-05-08T19:49:47.755634: step 312, loss 0.604881, acc 0.745117
2017-05-08T19:50:40.040049: step 313, loss 0.591841, acc 0.785156
2017-05-08T19:51:32.256280: step 314, loss 0.598076, acc 0.785156
2017-05-08T19:52:13.453426: step 315, loss 0.586796, acc 0.750617
2017-05-08T19:53:05.344345: step 316, loss 0.590698, acc 0.738281
2017-05-08T19:53:57.006680: step 317, loss 0.623392, acc 0.769531
2017-05-08T19:54:48.811591: step 318, loss 0.583025, acc 0.806641
2017-05-08T19:55:41.000331: step 319, loss 0.587347, acc 0.754883
2017-05-08T19:56:32.842427: step 320, loss 0.606788, acc 0.746094
2017-05-08T19:57:24.768580: step 321, loss 0.577865, acc 0.779297
2017-05-08T19:58:16.542706: step 322, loss 0.594441, acc 0.808594
2017-05-08T19:59:08.689045: step 323, loss 0.575745, acc 0.764648
2017-05-08T19:59:49.850571: step 324, loss 0.604152, acc 0.738272
2017-05-08T20:00:42.041759: step 325, loss 0.588297, acc 0.769531
2017-05-08T20:01:33.937271: step 326, loss 0.613589, acc 0.783203
2017-05-08T20:02:25.886719: step 327, loss 0.581105, acc 0.770508
2017-05-08T20:03:17.720404: step 328, loss 0.59858, acc 0.719727
2017-05-08T20:04:09.829333: step 329, loss 0.566793, acc 0.754883
2017-05-08T20:05:01.877607: step 330, loss 0.578823, acc 0.785156
2017-05-08T20:05:53.450328: step 331, loss 0.610802, acc 0.771484
2017-05-08T20:06:45.229598: step 332, loss 0.590885, acc 0.743164
2017-05-08T20:07:26.131080: step 333, loss 0.574258, acc 0.748148
2017-05-08T20:08:17.858192: step 334, loss 0.576571, acc 0.813477
2017-05-08T20:09:10.044813: step 335, loss 0.565037, acc 0.775391
2017-05-08T20:10:01.882570: step 336, loss 0.607876, acc 0.744141
2017-05-08T20:10:53.710537: step 337, loss 0.56276, acc 0.777344
2017-05-08T20:11:45.592264: step 338, loss 0.572198, acc 0.803711
2017-05-08T20:12:37.281358: step 339, loss 0.586355, acc 0.764648
2017-05-08T20:13:28.997639: step 340, loss 0.581704, acc 0.746094
2017-05-08T20:14:21.042031: step 341, loss 0.558634, acc 0.771484
2017-05-08T20:15:02.048304: step 342, loss 0.580689, acc 0.795062
2017-05-08T20:15:53.762397: step 343, loss 0.583205, acc 0.790039
2017-05-08T20:16:45.476453: step 344, loss 0.561779, acc 0.762695
2017-05-08T20:17:37.097449: step 345, loss 0.538901, acc 0.782227
2017-05-08T20:18:28.934629: step 346, loss 0.53082, acc 0.794922
2017-05-08T20:19:20.965386: step 347, loss 0.541221, acc 0.801758
2017-05-08T20:20:13.216003: step 348, loss 0.562249, acc 0.783203
2017-05-08T20:21:04.764551: step 349, loss 0.585538, acc 0.766602
2017-05-08T20:21:56.660263: step 350, loss 0.564511, acc 0.772461
2017-05-08T20:22:37.546739: step 351, loss 0.557954, acc 0.777778
2017-05-08T20:23:29.376886: step 352, loss 0.535603, acc 0.788086
2017-05-08T20:24:21.279341: step 353, loss 0.56251, acc 0.768555
2017-05-08T20:25:13.281460: step 354, loss 0.54514, acc 0.798828
2017-05-08T20:26:05.347459: step 355, loss 0.579635, acc 0.763672
2017-05-08T20:26:57.397430: step 356, loss 0.533885, acc 0.797852
2017-05-08T20:27:49.101395: step 357, loss 0.557151, acc 0.771484
2017-05-08T20:28:40.892145: step 358, loss 0.567954, acc 0.782227
2017-05-08T20:29:32.950447: step 359, loss 0.538489, acc 0.787109
2017-05-08T20:30:14.007244: step 360, loss 0.523702, acc 0.811111
2017-05-08T20:31:05.774433: step 361, loss 0.529372, acc 0.782227
2017-05-08T20:31:57.711285: step 362, loss 0.557385, acc 0.767578
2017-05-08T20:32:49.717296: step 363, loss 0.575648, acc 0.801758
